path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE205055A01t022/N10/egn10w.8007E+01,good,nstxuE205055A01t022,10,egn10w.8007E+01,2.8296066924074625,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,1.0,0.0024463932495564222,flagged_rf_only_good,0.5655424567840507,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,65eeb73355d1035ac8584afa983faee786c2c2e35f74d78a64662c20fa608b28,nstxuE205055A01t022/N10/egn10w.8007E+01
nstxuE205055A01t022/N10/egn10w.1545E+02,good,nstxuE205055A01t022,10,egn10w.1545E+02,3.93097503954339,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.93,1.2582760291479644e-06,flagged_rf_only_good,0.6903854414467582,BAD_AXIS_SPIKE,True,True,REVIEW,rule_survivor_policy,60d90624b4f8fd20f5ef0c74b174cf5efdb272f6e86273b0a0938336cd506973,nstxuE205055A01t022/N10/egn10w.1545E+02
nstxuE205055A01t022/N10/egn10w.2059E+02,bad,nstxuE205055A01t022,10,egn10w.2059E+02,4.538107900231632,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.006666666666666667,0.9999998807907104,flagged_borderline_or_disagreement,2.5031529611420122,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,a3a27df59c4594d9681efa53327002f0f55c6bcfa0a071f114a51ef59c96621e,nstxuE205055A01t022/N10/egn10w.2059E+02
nstxuE205057A01t020/N3/egn03w.7515E+01,bad,nstxuE205057A01t020,3,egn03w.7515E+01,2.7412657535787037,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.043333333333333335,1.0,flagged_borderline_or_disagreement,6.171975984560383,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,96c039f788565d4463a2028fe811dc0229459594b25bffe53ac2c0f3aec0b668,nstxuE205057A01t020/N3/egn03w.7515E+01
nstxuE205057A01t020/N3/egn03w.8629E+01,bad,nstxuE205057A01t020,3,egn03w.8629E+01,2.9375905466167955,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.0033333333333333335,1.0,flagged_borderline_or_disagreement,4.954321557334032,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,c10fe9e39ab93c3969b35076def82da59fab67fba11304f3d535c4b3e073a838,nstxuE205057A01t020/N3/egn03w.8629E+01
nstxuE205057A01t020/N4/egn04w.7368E+01,bad,nstxuE205057A01t020,4,egn04w.7368E+01,2.714344869677774,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.0033333333333333335,1.0,flagged_borderline_or_disagreement,11.52625285960903,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,7813c1a3e60181fb0c622916d2a0e91d70a1ab97cfeeef2b18ab7732ccae44c4,nstxuE205057A01t020/N4/egn04w.7368E+01
nstxuE205057A01t020/N4/egn04w.7490E+01,bad,nstxuE205057A01t020,4,egn04w.7490E+01,2.7367057735448923,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.006666666666666667,1.0,flagged_borderline_or_disagreement,9.001710061556988,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,bbe91461d49e0d057dd703cab1342d30b6c151edfb60c568b00091a844075a95,nstxuE205057A01t020/N4/egn04w.7490E+01
nstxuE205057A01t020/N4/egn04w.9819E+01,bad,nstxuE205057A01t020,4,egn04w.9819E+01,3.1335684340311727,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.016666666666666666,1.0,flagged_borderline_or_disagreement,18.511948937245783,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,565f5f98df0a57ca2c408e12be3432bf0f48a0312a902b3c2a49c19ad9abf10f,nstxuE205057A01t020/N4/egn04w.9819E+01
nstxuE205057A01t020/N4/egn04w.1026E+02,bad,nstxuE205057A01t020,4,egn04w.1026E+02,3.2037876400596033,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.07666666666666666,1.0,flagged_borderline_or_disagreement,1.1236176674698928,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,ddc48bc7fc76a0392c619bdd5be444a1955061ab53522b752e313e380451df9e,nstxuE205057A01t020/N4/egn04w.1026E+02
nstxuE205057A01t020/N4/egn04w.1270E+02,bad,nstxuE205057A01t020,4,egn04w.1270E+02,3.563429371503073,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.0033333333333333335,1.0,flagged_borderline_or_disagreement,8.258791884485836,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,5aea2ed84615d3edec070d0c4569030df5752f99de99ada8dbb0c7b810af217c,nstxuE205057A01t020/N4/egn04w.1270E+02
nstxuE205057A01t020/N5/egn05w.6080E+01,bad,nstxuE205057A01t020,5,egn05w.6080E+01,2.4658411097839723,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.013333333333333334,0.9999997615814209,flagged_borderline_or_disagreement,7.390712363871166,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,5e06fe1393f4aa06dc79897255764fdfe5e2ae7f52101bed1de1e820d05e7684,nstxuE205057A01t020/N5/egn05w.6080E+01
nstxuE205057A01t020/N5/egn05w.6367E+01,bad,nstxuE205057A01t020,5,egn05w.6367E+01,2.523254560950708,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.03666666666666667,1.0,flagged_borderline_or_disagreement,6.253078779248478,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,16631aedff163a3373aea74c9a184cd44e76c77aabc55604b427c74d568cfae6,nstxuE205057A01t020/N5/egn05w.6367E+01
nstxuE205057A01t020/N5/egn05w.6589E+01,bad,nstxuE205057A01t020,5,egn05w.6589E+01,2.566947460307721,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.05,0.9972745776176453,flagged_borderline_or_disagreement,8.880894503091453,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,b78f7d92e8863601992212c77a5668715eea5039b2fad6388093279bf3d0bb77,nstxuE205057A01t020/N5/egn05w.6589E+01
