boundary,crossing_r,singularity_r,offset_r,offset_grid,shot,ntor,path,in_training_list,gap_region,nr,in_interior
high,0.6612622448455437,0.715,-0.053737755154456224,-10.747551030891245,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,True
high,0.7102607974799602,0.715,-0.004739202520039787,-0.9478405040079574,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,True
high,0.9817904228937928,0.98,0.0017904228937928313,0.35808457875856625,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1585E+02,False,tae_like,201,False
low,0.2630086601367268,0.28,-0.016991339863273225,-3.398267972654645,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,True
low,0.4293476062116158,0.41500000000000004,0.014347606211615738,2.8695212423231475,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,True
high,0.011544582254641535,0.01,0.0015445822546415345,0.3089164509283069,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,False
high,0.13304449264715906,0.14,-0.0069555073528409506,-1.3911014705681901,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,True
high,0.5810359194845058,0.555,0.026035919484505787,5.2071838969011575,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,True
high,0.8018536075228104,0.81,-0.008146392477189623,-1.6292784954379247,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,False
high,0.9783127364347824,0.975,0.0033127364347824706,0.6625472869564941,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.1747E+02,False,eae_like,201,False
high,0.42396007725791374,0.535,-0.1110399227420863,-22.207984548417258,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.2077E+02,False,eae_like,201,True
high,0.4415381073596269,0.535,-0.09346189264037313,-18.692378528074627,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.2077E+02,False,eae_like,201,True
high,0.9218734326707881,0.92,0.0018734326707881,0.37468653415762,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.2077E+02,False,eae_like,201,False
high,0.9607891987703617,0.96,0.0007891987703617653,0.15783975407235307,nstxuG133964R48,1,nstxuG133964R48/N1/egn01w.2077E+02,False,eae_like,201,False
low,0.061476070512223015,0.06,0.001476070512223017,0.2952141024446034,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.1693E+02,False,tae_like,201,True
low,0.21548293704610968,0.195,0.020482937046109678,4.096587409221936,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.1693E+02,False,tae_like,201,True
high,0.3756585998371952,0.19,0.18565859983719518,37.13171996743904,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,True
high,0.508087495267221,0.19,0.31808749526722097,63.61749905344419,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,True
high,0.9049053763465201,0.93,-0.02509462365347992,-5.018924730695984,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,False
high,0.9389202283748206,0.93,0.008920228374820538,1.7840456749641076,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,False
high,0.9494116637724314,0.9500000000000001,-0.0005883362275687087,-0.11766724551374175,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,False
high,0.9610626459111687,0.96,0.0010626459111687803,0.21252918223375605,nstxuG133964U27,1,nstxuG133964U27/N1/egn01w.2448E+02,False,eae_like,201,False
low,0.1021117900255431,0.13,-0.0278882099744569,-5.57764199489138,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1597E+02,False,tae_like,201,True
low,0.2646611928368451,0.13,0.13466119283684508,26.932238567369016,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1597E+02,False,tae_like,201,True
high,0.053366477067194155,0.06,-0.006633522932805842,-1.3267045865611684,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1597E+02,False,tae_like,201,True
low,0.11012297505266196,0.13,-0.01987702494733805,-3.97540498946761,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1616E+02,False,tae_like,201,True
low,0.2396491442416004,0.13,0.10964914424160038,21.929828848320078,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1616E+02,False,tae_like,201,True
high,0.05711988885499274,0.06,-0.002880111145007261,-0.5760222290014522,nstxuG133964U37,1,nstxuG133964U37/N1/egn01w.1616E+02,False,tae_like,201,True
high,0.46876356713814904,0.435,0.03376356713814904,6.752713427629809,nstxuG142301B37,1,nstxuG142301B37/N1/egn01w.1007E+03,False,tae_like,201,True
low,0.5506349671466487,0.54,0.010634967146648688,2.1269934293297377,nstxuG142301B37,1,nstxuG142301B37/N1/egn01w.2486E+02,False,tae_like,201,True
high,0.7698170831840202,0.765,0.004817083184020188,0.9634166368040376,nstxuG142301B37,1,nstxuG142301B37/N1/egn01w.2486E+02,False,tae_like,201,False
high,0.965076355534442,0.8300000000000001,0.13507635553444197,27.015271106888395,nstxuG142301B37,1,nstxuG142301B37/N1/egn01w.2486E+02,False,tae_like,201,False
