shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuE204708F03t020,2,14,12,0,0,0,10,14,0.3403299962436823,0.3403299962436823,0.0,1.0,0.8764030845551479,,0,29,0,0,14,41,0.04878048780487805,2,0
nstxuE204708F03t025,2,8,4,0,0,0,4,7,0.39649401703103493,0.39649401703103493,0.0,0.8571428571428571,0.7889765620298418,,0,13,0,0,4,7,0.0,4,0
nstxuE204708F03t035,2,2,2,0,0,0,2,2,0.2746960205630061,0.2746960205630061,0.0,1.0,0.4446607897150173,,0,11,0,0,3,4,0.0,0,0
nstxuE204944A01t020,2,12,8,0,0,0,8,8,0.44027873612841883,0.44027873612841883,0.0,1.0,0.8999964420389994,,0,28,0,0,14,14,0.0,4,0
nstxuE204944A01t027,2,7,6,0,0,0,6,6,0.20729058070516615,0.20729058070516615,0.0,1.0,0.3630979743583007,,0,39,0,0,24,25,0.0,1,0
nstxuE204944A01t035,2,5,5,0,0,0,1,3,55.79956041201023,55.79956041201023,0.6666666666666666,1.0,57.31830226594002,,2,17,0,0,4,12,0.16666666666666666,0,0
nstxuE204954A01t017,2,6,3,0,0,0,3,3,0.19200243745213785,0.19200243745213785,0.0,1.0,0.8262034592454304,,0,28,0,0,7,8,0.0,3,0
nstxuE204955F02t017,2,7,3,0,0,0,3,3,0.5595946059024248,0.5595946059024248,0.0,1.0,0.7603899084718746,,0,25,0,0,6,17,0.0,4,0
nstxuE204955F02t020,2,6,1,0,0,0,1,8,0.40791535898704046,0.40791535898704046,0.0,1.0,0.7621823049038734,,0,15,0,0,2,12,0.0,5,0
nstxuE204955F02t023,2,6,2,0,0,0,2,4,-4.666968064797162,5.292417094619429,0.5,0.5,10.098972318504147,,2,9,0,0,4,9,0.2222222222222222,4,0
nstxuE204955F02t025,2,18,6,0,0,0,6,10,0.48561943154747933,0.48561943154747933,0.0,0.9,0.7215646132217445,,0,55,0,0,11,25,0.0,12,0
nstxuE204957F05t017,2,11,9,0,0,0,9,17,0.46220327485737567,0.46220327485737567,0.0,0.9411764705882353,0.9062994626991783,,0,28,0,0,11,21,0.0,2,0
nstxuE204957F05t020,2,3,2,0,0,0,2,5,0.7043042320468484,0.7043042320468484,0.0,1.0,0.7895811380198942,,0,14,0,0,10,19,0.0,1,0
nstxuE204957F05t027,2,12,10,0,0,0,10,18,0.37403281161935487,0.37403281161935487,0.0,1.0,0.5850075516377901,,0,26,0,0,20,34,0.0,2,0
nstxuE204957F05t034,2,9,6,0,0,0,6,6,0.46175858362704075,0.46175858362704075,0.0,1.0,0.6917275294217109,,0,33,0,0,15,17,0.0,3,0
nstxuE205016A01t017,2,11,11,0,0,0,11,44,0.49167741642019147,0.49167741642019147,0.0,0.9772727272727273,0.9177812633311179,,0,36,0,0,15,58,0.0,0,0
nstxuE205016A01t020,2,6,1,0,0,0,1,1,0.576982045184482,0.576982045184482,0.0,1.0,0.576982045184482,,0,12,0,0,6,6,0.0,5,0
nstxuE205016A01t025,2,9,6,0,0,0,6,7,0.329842424688076,0.329842424688076,0.14285714285714285,1.0,5.464407870548906,,1,20,0,1,14,21,0.047619047619047616,3,0
nstxuE205016A01t032,2,12,12,0,0,0,11,13,0.6431239120573751,0.7258417987286214,0.15384615384615385,0.8461538461538461,14.270638625893245,,2,29,0,0,15,19,0.10526315789473684,0,0
nstxuE205017A01t017,2,4,2,0,0,0,2,4,0.47337784420351525,0.47337784420351525,0.0,1.0,0.8940882027608099,,0,14,0,0,2,4,0.0,2,0
nstxuE205017A01t020,2,5,2,0,0,0,2,3,0.3809178128645119,0.3809178128645119,0.0,1.0,0.6164062877482923,,0,16,0,0,5,6,0.0,3,0
nstxuE205017A01t030,2,8,8,0,0,0,6,13,0.5871968352439305,0.5895912725119246,0.23076923076923078,0.8461538461538461,23.816995918784322,,3,31,0,0,22,45,0.06666666666666667,0,0
