cohort,top2_min,local_min,radial_min,eligible_modes,good_modes,bad_modes,unlabeled_modes,good_survivors,bad_survivors,unlabeled_survivors,flagged_modes,good_flagged,bad_flagged,unlabeled_flagged,good_survivors_flagged,bad_survivors_flagged,unlabeled_survivors_flagged
batch_survivors,0.01,0.15,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,12.0,2363,575,1788,0,542,25,0,42,0,42,0,0,1,0
batch_survivors,0.01,0.15,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.15,14.0,2363,575,1788,0,542,25,0,30,0,30,0,0,1,0
batch_survivors,0.01,0.15,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.01,0.15,16.0,2363,575,1788,0,542,25,0,16,0,16,0,0,0,0
batch_survivors,0.01,0.2,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,2.0,2363,575,1788,0,542,25,0,175,0,175,0,0,1,0
batch_survivors,0.01,0.2,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,4.0,2363,575,1788,0,542,25,0,148,0,148,0,0,1,0
batch_survivors,0.01,0.2,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,6.0,2363,575,1788,0,542,25,0,117,0,117,0,0,1,0
batch_survivors,0.01,0.2,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,8.0,2363,575,1788,0,542,25,0,87,0,87,0,0,1,0
batch_survivors,0.01,0.2,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,10.0,2363,575,1788,0,542,25,0,55,0,55,0,0,1,0
batch_survivors,0.01,0.2,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,12.0,2363,575,1788,0,542,25,0,36,0,36,0,0,1,0
batch_survivors,0.01,0.2,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.01,0.2,14.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.01,0.2,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
