mode_key,path,input_fingerprint,previous_decision,previous_reason,current_status
nstxuG142301C50/N1/egn01w.4074E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4074E+03,52d42809795d4df3ecdc24030d1d15e27265174dd192f75cf83ca8c2afdad378,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4267E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4267E+03,fc01dcc38325ff6dbea41f241fda3eedafe0d0d68c87f6ae5f80c1cdf5e37be0,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4292E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4292E+03,4054e67642bbb642389414a2d4d18ab5242e0517ba0581fe97e13ab871acf085,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4446E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4446E+03,2f4f1201aa7449a8f699c436895682c6a5a178116a923f028665d4d89cb56601,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4447E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4447E+03,e7a3cdabb529f9c5e6a34dcbae83803e34b6d24daa5030718470fb2edf6ef858,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.4460E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.4460E+03,c6d8333aeed968c1ac5ef2fd2c7becbc1155f60fefa3ab8bf8022ee1288a844c,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.5856E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.5856E+02,048bbfbb63d346cf3c6e82bd4e976b9196f01398fbd37ce42d21dad0f3b87ded,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.6077E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.6077E+02,2e1c8f80f2a7662939dfb40b66fdfbfce77fe78536c3d0ccbc4d245523062193,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.6437E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.6437E+02,61bc52267e428f88f40383cf40f47210b0cbc78875f5db9a6f9db3cd5bff000c,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.6456E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.6456E+02,9e8a78cb20ff151da9ff8b78f1fadefc75885444122672feb9f19a58a2a678ed,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.6469E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.6469E+02,74389c54b3b929ff50ddf0c6690fdbf429abe14690a97e4af8248c3265adf551,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.8889E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.8889E+02,98b750b26b69fb6ee8b0c7af90e2ef38b8366472883cea5ef132966bad26a9e8,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.9040E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.9040E+02,dd18041f4c345d6269965126e4676e39980db907f8166a5ace4f9fa6ac0abbbd,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.9225E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.9225E+02,35f1e1e6e1593f547d30840b92aa4a1e38ba6e0e228b5b8d17e9dad2bb4ea921,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
