cohort,mode_key,input_fingerprint,label_or_decision,fraction_below_upper2,signed_delta,old_route,candidate_route
pilot12,nstxuE205017A01t025/N1/egn01w.8046E+01,521d982ab8c4c37da422fa18fd20b9a4ec17c513f38e02a447517b0f3117091a,BAD,0.18702913030833637,0.2983243171458083,mixed,eae_like
pilot12,nstxuE205017A01t025/N1/egn01w.8375E+01,343108118aedfce9e54578223d4ca18fd955c6fd663ed7b2cf5ce5583c5b0e86,BAD,0.15969671144224581,0.19646993240104046,mixed,eae_like
pilot12,nstxuE205017A01t025/N1/egn01w.8421E+01,d2f0543da8d328698e04ae1ba1ce744847811418b01f10097579b056dfb6124a,BAD,0.10487440631295872,0.0789062166452867,mixed,eae_like
pilot12,nstxuE204186A01t020/N1/egn01w.9739E+01,9b806e6890bfc0c54779d23dc8242cdbab97c70f1b2de42b968b69ebbbfe9606,BAD,0.15406453022063787,-0.012518923615604282,mixed,eae_like
pilot12,nstxuE204186A01t020/N1/egn01w.1101E+02,e3524f738fe65f92d78a387d12b83705949638aa95eb304b584508e3249b364d,BAD,0.1823040371666004,-0.019092975296362863,mixed,eae_like
pilot12,nstxuE204186A01t020/N1/egn01w.1117E+02,62586223456a94e0e21bc6675f69fd83b0c62c42efcfe27f7e85c56c1da2702d,BAD,0.17816776726772732,-0.0505266687647554,mixed,eae_like
pilot12,nstxuE204186A01t020/N3/egn03w.8718E+01,0dc292b6ecdf90393a230a787bb7c3f385b2efa7f741081adb9dcd00c3cbeb76,BAD,0.04803282299337677,0.031420843090834774,mixed,eae_like
pilot12,nstxuE204186A01t020/N3/egn03w.8766E+01,057e6d7c7a028ffdcdbb38a5459cf43353a27a90fe66cbdf5f7f0edbfc468c6b,BAD,0.031203799893194988,-0.040412202068789795,mixed,eae_like
pilot12,nstxuE204186A01t020/N3/egn03w.8924E+01,f5a87d1ee01e1ffc8b53497d3f94c923a9c00f44e8b88e1c1768ea9607a729c2,BAD,0.11469483447337293,0.15446705470368927,mixed,eae_like
pilot12,nstxuE204186A01t020/N3/egn03w.8944E+01,90384a1971e844d8ef9ef42b942135fd7d7dd872e95da141aea9971a4fd66f0f,BAD,0.08711635960191015,0.06593780338562083,mixed,eae_like
pilot12,nstxuE204186A01t020/N3/egn03w.9106E+01,807db9c0de90478bca13e7d90ddee5ca410a0433f32cfdfff60eb758bde68a80,BAD,0.14026904966554335,0.1475949065128111,mixed,eae_like
pilot12,nstxuG133964R06/N8/egn08w.1936E+02,59a8a5110696ced09cdb22febae567e131f4e62dfc2cf14965c7d321b235c4bb,BAD,0.15848951069493247,-0.03528721145379039,mixed,eae_like
pilot12,nstxuG133964R06/N8/egn08w.1963E+02,1ebdf0616c79d9290c37911abee90726375d9ea6d49ccef534bcce678d762698,BAD,0.07656066321565783,0.09286986724342838,mixed,eae_like
pilot12,nstxuG133964R06/N8/egn08w.2109E+02,7225f9956ddb51c70cab8547c15966cfdc0e498d73fe439c07f484760bad60c8,BAD,0.030356843684676692,-0.09016079758909092,mixed,eae_like
pilot12,nstxuG133964R06/N8/egn08w.2224E+02,b8263f885bedd57d0d53957df2aeafb55d5fcaa4e00d88d75b02053adfbb1e9b,BAD,0.09042069833887886,0.004576672320827666,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.1934E+02,8167bcb4c4da1f34e09471f2cd432306afd9432a386bcbea18ee38f6c6979a22,BAD,0.16762974114911963,0.1560736646417524,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.1938E+02,1a7cecf986dc32b25d1084c0244e80581e4c66ef82cb718934121be69efb5230,BAD,0.13831900621811344,0.07821855324138097,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.1971E+02,de638b9d1ae737211cd879d0070d2f035ac2c54401e4c496d759a7a45552997d,BAD,0.07752163749827326,-0.06745848119418657,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.1983E+02,28403edc06f45dc1d39772a332e971a2d843e96a633baa5c2cd2d4f4daf934c6,BAD,0.018729348116805173,0.01811363056161374,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.1986E+02,235bf5400e1d6edb912809e0e0d35f8bb96a10dfce861eba79a3e5e0992d934c,BAD,0.0322149497421679,-0.06974356004003326,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.2000E+02,f75d17ec085e625668b1061ffd4fb65c6fd3ae3b526cf05735fee0379792514e,BAD,0.05335929038576265,0.13680383307152452,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.2227E+02,3fe6cc1c4ad35b598a3cf63da2be682e42b9e2f42ae751bf73d36bf8597a066a,BAD,0.11996159806028191,-0.08083913383035404,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.2557E+02,69abff1f5cbf9767bc4ccf94afeb67edc4039f623eca24f82ccec82edaab5418,BAD,0.07106493397118727,0.02897936864254596,mixed,eae_like
pilot12,nstxuG133964R06/N9/egn09w.2626E+02,f91c984f6701a94b04238f822413f80f53914d6dc1a02405dd500fe0552876d8,BAD,0.047891092775890695,-0.05311996988378967,mixed,eae_like
pilot12,nstxuG133964R06/N10/egn10w.2028E+02,78ba8ccc48bac3b244c63e08d1c7e0e39d8cb458e0fc345af5c052c754fe02cd,BAD,0.037942640606381715,0.08438033506005103,mixed,eae_like
pilot12,nstxuG133964R06/N10/egn10w.2043E+02,b65a8b29fb7219e21fae574bd8c2b7a281830953883da7cc94958703144d0a6f,BAD,0.06072678044852915,0.04768853508526227,mixed,eae_like
pilot12,nstxuG142301L94/N6/egn06w.1111E+02,92214aea0f37d018d5c90507ce4fa668772d1f295bc1d87268bd4e0ff69b0e7b,BAD,0.12484021145488912,-0.0242548387022379,mixed,eae_like
