path,mode_key,shot,n,omega,gap_region,signed_delta,fraction_below_upper2,input_fingerprint,disagreement_type,rules_final_decision,rule_decision,rule_primary_reason,rule_triggered_rules,rule_survivor_policy,rule_survivor_accepted,rules_selected_final,rf_cnn_final_label,rf_cnn_tier,p_rf_good,p_cnn_good,p_avg,rf_cnn_model_disagreement,rf_cnn_near_threshold,rf_cnn_large_score_gap,rf_cnn_selected_final
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N8/egn08w.2732E+02,nstxuE205045A01t022/N8/egn08w.2732E+02,nstxuE205045A01t022,8,5.227122577870061,tae_like,0.9603130828618378,0.9964305733457106,adaf4da979b38301f2fbb48bf5835581bfc2b74df72b430a806ea97b5c29e07d,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.26666666666666666,1.0,0.6333333333333333,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N8/egn08w.4007E+02,nstxuE205045A01t022/N8/egn08w.4007E+02,nstxuE205045A01t022,8,6.330081528274757,tae_like,0.9661053835285018,0.9755297584342475,a494b78ca19304a976a250a7aeb6d2dee6f5d51a67af3dd9177931bd20b4f990,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.10666666666666667,0.002115523209795356,0.054391094938231015,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N8/egn08w.4550E+02,nstxuE205045A01t022/N8/egn08w.4550E+02,nstxuE205045A01t022,8,6.745729186180652,tae_like,0.9386902476159372,0.9505415284222388,327b25e9ca10106ac16616c42b91644cd2de167f9c8cdf27f818d963b64fc0e3,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.09666666666666666,1.0319292206894261e-21,0.04833333333333333,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N9/egn09w.2606E+02,nstxuE205045A01t022/N9/egn09w.2606E+02,nstxuE205045A01t022,9,5.104543375822947,tae_like,0.952976494512809,0.9968519023969048,8f097901b61887e4c45a04a48d4da2ffc0136fdfa5431cd1bbe5a9d673ea1f54,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.39666666666666667,1.0,0.6983333333333334,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N9/egn09w.4932E+02,nstxuE205045A01t022/N9/egn09w.4932E+02,nstxuE205045A01t022,9,7.022558956161434,tae_like,0.9565457852158205,0.9638026000709558,e0fb9764ac7ae51e81b270773d3f240853a1f7da30d4f01a83c85530e9272519,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.09666666666666666,0.999509334564209,0.5480880006154378,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N10/egn10w.3150E+02,nstxuE205045A01t022/N10/egn10w.3150E+02,nstxuE205045A01t022,10,5.61204923608921,tae_like,0.9614868123891032,0.9877499802823922,d6194b4b411ae456ff5ec203f50d5bdeaba42fb5aa95ce63a6c9543b905f1335,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.26666666666666666,8.074359147289635e-19,0.13333333333333333,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N10/egn10w.3699E+02,nstxuE205045A01t022/N10/egn10w.3699E+02,nstxuE205045A01t022,10,6.081539723719993,tae_like,0.9699581654235453,0.9895133760284316,d5ecd89dc8d002785640a8e6388f0ab8a28f90c7a0f11cc53237a703a807551f,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.25,0.9998641014099121,0.624932050704956,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205045A01t022/N10/egn10w.5337E+02,nstxuE205045A01t022/N10/egn10w.5337E+02,nstxuE205045A01t022,10,7.305424208205989,tae_like,0.9170116417633808,0.9320251477377445,956f3790ba06338eb9f77f748da4fb824d52dd0ab9b463958bf112059ff6af76,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.06666666666666667,0.8277349472045898,0.44720080693562825,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204707A04t030/N1/egn01w.1470E+02,nstxuE204707A04t030/N1/egn01w.1470E+02,nstxuE204707A04t030,1,3.8346805442754595,tae_like,0.8151155845160191,0.9999117695338471,b171c1f896857aeaeba5cadba07b1f3e0e39dd41c65ab7383e41b0aa1d0f8159,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5133333333333333,4.3206636185511016e-12,0.256666666668827,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204707A04t030/N1/egn01w.1509E+02,nstxuE204707A04t030/N1/egn01w.1509E+02,nstxuE204707A04t030,1,3.8846051637149075,tae_like,0.812002010339636,0.999539597734427,8a125fe7c15dabcf05cf0bf0662a8dd6cf784e5c3681c5750108daf3c4dce234,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5033333333333333,7.088803936211585e-12,0.25166666667021104,True,True,True,False
