path,label,shot,ntor,omega,gap_region,final_decision,final_reason,automatic_final_decision,original_rule_decision,rule_primary_reason,decision_source,manual_decision,manual_reason,reviewer,adjudication_timestamp,selected_final,overall_rule_severity,input_fingerprint,mode_key,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good
nstxuE202947A03t015/N10/egn10w.3495E+01,bad,nstxuE202947A03t015,10,1.8693888765563906,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.166029073111764,e145adfbd48b0542482a880e9104f75537c95de23fa29f8e2d5ab31888ebfa27,nstxuE202947A03t015/N10/egn10w.3495E+01,GOOD,GOOD,BAD,0.8233333333333334,2.937789744805741e-08
nstxuE202947A03t015/N10/egn10w.3915E+01,bad,nstxuE202947A03t015,10,1.9785350374268484,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.6173101563154144,94b206205a013e2de14cf3ba73556200a6d6036c9f6499f05e4ea82465a7c1f0,nstxuE202947A03t015/N10/egn10w.3915E+01,GOOD,GOOD,BAD,0.83,0.0
nstxuE203262A04t018/N3/egn03w.1291E+02,good,nstxuE203262A04t018,3,3.593078455562715,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.9465243944205121,dc0dbe66a74fe5e8e63a5592c644b991b38ddcfef663d46d16be46c629cd5973,nstxuE203262A04t018/N3/egn03w.1291E+02,BAD,BAD,BAD,0.4766666666666667,4.112856984457172e-26
nstxuE203262A04t018/N4/egn04w.8929E+01,bad,nstxuE203262A04t018,4,2.9881021779421073,tae_like,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,BAD_GRID_SCALE_SPIKE,rule_engine,,,,,,1.3972082857170396,8c0bcb1ccd153462c4046849bc599a64b44ecab449716975c882e158b3860293,nstxuE203262A04t018/N4/egn04w.8929E+01,GOOD,GOOD,BAD,0.5566666666666666,3.0441564013059534e-38
nstxuE203262A04t018/N4/egn04w.1263E+02,good,nstxuE203262A04t018,4,3.5535715245045703,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.606075979694346,133cc8ecfd2fa650ca0d4ff17cad0d6079db5aef56ba8b2e4207912ebda03212,nstxuE203262A04t018/N4/egn04w.1263E+02,BAD,BAD,BAD,0.39666666666666667,0.0
nstxuE203262A04t018/N5/egn05w.1322E+02,bad,nstxuE203262A04t018,5,3.6359019651702584,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.7924560571754489,1e1c7958fc3aff0ad2be07d404d05f23a7bf0a76d01e2c9f95ebce8b4300b372,nstxuE203262A04t018/N5/egn05w.1322E+02,GOOD,GOOD,BAD,0.53,2.303781696213617e-24
nstxuE203262A04t018/N6/egn06w.4322E+01,bad,nstxuE203262A04t018,6,2.0790426965621194,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.1363012307526008,4f820e7ecdf64ed433fc448724b250c0516b57d9e250e34b24a1b0d1124ae696,nstxuE203262A04t018/N6/egn06w.4322E+01,GOOD,GOOD,GOOD,0.6633333333333333,0.9956865310668945
nstxuE203262A04t018/N7/egn07w.2226E+01,good,nstxuE203262A04t018,7,1.491833968867219,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.6458169070078721,e93291bfa9d7d33f290f285b8399e864e704f55c6b4f8492d39ea48c08a1f8ca,nstxuE203262A04t018/N7/egn07w.2226E+01,BAD,BAD,BAD,0.37666666666666665,1.2014831352047395e-09
nstxuE203262A04t018/N8/egn08w.4882E+01,good,nstxuE203262A04t018,8,2.2095223118647804,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.8494352052006349,9c518affdf8c4df6555c196c6a552c152820a9622295bc04763320d0388af964,nstxuE203262A04t018/N8/egn08w.4882E+01,BAD,BAD,BAD,0.49333333333333335,0.0
nstxuE203262A04t018/N9/egn09w.2705E+01,bad,nstxuE203262A04t018,9,1.6446404885427934,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,2.110127397226679,a61ca57b154763e828882efd077cf380119eedeff10f811f40d95efbc557fdbd,nstxuE203262A04t018/N9/egn09w.2705E+01,GOOD,GOOD,BAD,0.56,9.482590712650563e-09
nstxuE203262A04t018/N9/egn09w.4938E+01,good,nstxuE203262A04t018,9,2.222166858005733,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.6120931164897991,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,nstxuE203262A04t018/N9/egn09w.4938E+01,BAD,BAD,BAD,0.31333333333333335,0.0
