path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstx_135388/N1/egn01w.2364E+02,low,0.10952656950947626,0.145,-0.03547343049052373,-7.094686098104747,201
nstx_135388/N1/egn01w.2364E+02,low,0.4071073488610158,0.38,0.02710734886101579,5.421469772203158,201
nstx_135388/N1/egn01w.2395E+02,low,0.12734884546027986,0.16,-0.032651154539720145,-6.530230907944029,201
nstx_135388/N1/egn01w.2395E+02,low,0.3982338158632834,0.37,0.028233815863283385,5.6467631726566765,201
nstx_135388/N1/egn01w.2424E+02,low,0.14120831917097448,0.17,-0.02879168082902553,-5.7583361658051055,201
nstx_135388/N1/egn01w.2424E+02,low,0.389543377109779,0.36,0.029543377109779,5.908675421955801,201
nstx_135388/N1/egn01w.2439E+02,low,0.14726791635983022,0.17500000000000002,-0.027732083640169797,-5.546416728033959,201
nstx_135388/N1/egn01w.2439E+02,low,0.3852050139923444,0.355,0.03020501399234443,6.041002798468886,201
nstx_135388/N1/egn01w.2504E+02,low,0.17213249568736513,0.20500000000000002,-0.03286750431263488,-6.573500862526976,201
nstx_135388/N1/egn01w.2504E+02,low,0.3641383347232336,0.33,0.03413833472323358,6.827666944646715,201
nstx_135388/N1/egn01w.2514E+02,low,0.17592463537786548,0.21,-0.03407536462213451,-6.815072924426902,201
nstx_135388/N1/egn01w.2514E+02,low,0.360524462451623,0.325,0.035524462451622996,7.104892490324599,201
nstx_135388/N1/egn01w.2525E+02,low,0.17963641334502076,0.215,-0.03536358665497924,-7.072717330995848,201
nstx_135388/N1/egn01w.2525E+02,low,0.35688852676614546,0.32,0.03688852676614546,7.377705353229091,201
nstx_135388/N1/egn01w.6037E+02,high,0.25124742443954723,0.255,-0.0037525755604527755,-0.7505151120905551,201
nstx_135388/N1/egn01w.6120E+02,high,0.25604084281861045,0.26,-0.003959157181389561,-0.7918314362779122,201
nstx_135388/N1/egn01w.6205E+02,high,0.26081756544637874,0.265,-0.004182434553621273,-0.8364869107242545,201
nstx_141711/N1/egn01w.2311E+03,high,0.5258513590982884,0.53,-0.004148640901711631,-0.8297281803423262,201
nstx_141711/N1/egn01w.2329E+03,high,0.5281822121347575,0.535,-0.006817787865242564,-1.3635575730485128,201
nstx_141711/N1/egn01w.2349E+03,high,0.5307265522154095,0.535,-0.0042734477845904895,-0.8546895569180979,201
nstx_141711/N1/egn01w.2375E+03,high,0.5341326621896159,0.54,-0.005867337810384177,-1.1734675620768353,201
nstx_141711/N1/egn01w.2413E+03,high,0.5390412277065294,0.545,-0.005958772293470638,-1.1917544586941275,201
nstx_141711/N1/egn01w.2616E+03,high,0.5667472747299,0.88,-0.31325272527009995,-62.65054505401999,201
nstx_141711/N1/egn01w.2778E+03,high,0.5927257631218663,0.605,-0.01227423687813367,-2.454847375626734,201
nstx_141711/N1/egn01w.2858E+03,high,0.6084671306011784,0.62,-0.011532869398821588,-2.3065738797643176,201
nstx_141711/N1/egn01w.2872E+03,high,0.6118124487531436,0.625,-0.013187551246856444,-2.6375102493712888,201
nstx_141711/N1/egn01w.2903E+03,high,0.6193977181594086,0.64,-0.02060228184059143,-4.120456368118286,201
nstxuE204669M03t025/N1/egn01w.1001E+02,high,0.19807505871429193,0.195,0.003075058714291923,0.6150117428583846,201
nstxuE204669M03t025/N1/egn01w.1044E+02,high,0.2212136474186273,0.22,0.0012136474186273116,0.24272948372546232,201
nstxuE204669M03t025/N1/egn01w.1052E+02,high,0.2255161978206129,0.22,0.005516197820612911,1.1032395641225823,201
nstxuE204669M03t025/N1/egn01w.1061E+02,high,0.23005626919138109,0.225,0.00505626919138108,1.011253838276216,201
nstxuE204669M03t025/N1/egn01w.1071E+02,high,0.23475708990805744,0.23,0.004757089908057427,0.9514179816114854,201
nstxuE204669M03t025/N1/egn01w.1081E+02,high,0.23956682264461693,0.23500000000000001,0.0045668226446169136,0.9133645289233827,201
nstxuE204669M03t025/N1/egn01w.1091E+02,high,0.24444092192059833,0.24,0.004440921920598334,0.8881843841196668,201
