issue_id,shot,n,relative_path,issue_type,field,observed_value,sorter_effect,verified_on
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1932E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1935E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1936E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1938E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1942E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1945E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1948E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1952E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1954E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1956E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1958E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1959E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1962E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1964E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1966E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
