path,shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,rule_margin,nearest_gate,rules_selected_final,rf_cnn_selected_final
nstxuE204955F02t017/N6/egn06w.7911E+01,nstxuE204955F02t017,nstxuE204955F02t017/N6/egn06w.7911E+01,149b3f31730c41758b267442dabd9f167b0d82edccd36d623cda95d26a4952f8,BAD,BAD_AXIS_SPIKE,GOOD,0.8333333333333334,0.22764171659946442,flagged_rf_only_good,1.1054696600134388,-0.10546966001343883,BAD_AXIS_SPIKE,,True
nstxuE204955F02t017/N7/egn07w.4960E+01,nstxuE204955F02t017,nstxuE204955F02t017/N7/egn07w.4960E+01,bc0cc67aa78d4b4bb3019d21db07e6e1c8488994f4edfb54548532b1e61e515a,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5866666666666667,0.0,flagged_rf_only_good,1.310971135750548,-0.310971135750548,BAD_GRID_SCALE_SPIKE,,True
nstxuE204955F02t017/N7/egn07w.8319E+01,nstxuE204955F02t017,nstxuE204955F02t017/N7/egn07w.8319E+01,98e4afef937e24ef981e6c3ca4e42bcfa078839e1a3268945f59fca64273fcd4,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,GOOD,0.8133333333333334,1.0,gold_good,1.0644624958962645,-0.06446249589626452,BAD_INTERIOR_UNRESOLVED_ENVELOPE,,True
nstxuE204955F02t017/N8/egn08w.4847E+01,nstxuE204955F02t017,nstxuE204955F02t017/N8/egn08w.4847E+01,fd7e88ed3c090fb692940ef6d00dd284f8788deb040c32fa6cf57c483ba9bf1e,BAD,BAD_AXIS_SPIKE,GOOD,0.7633333333333333,6.986378643986553e-37,flagged_rf_only_good,3.047956351777982,-2.047956351777982,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE204955F02t017/N9/egn09w.5709E+01,nstxuE204955F02t017,nstxuE204955F02t017/N9/egn09w.5709E+01,e5dac75bd89cbc4b5543208c4ab67396e18e9aa756fe23690234a9ec135d47d2,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.99,1.0,gold_good,1.0357774583119566,-0.035777458311956556,BAD_GRID_SCALE_SPIKE,,True
nstxuE204955F02t017/N9/egn09w.9714E+01,nstxuE204955F02t017,nstxuE204955F02t017/N9/egn09w.9714E+01,97b9abec4001ddb44fd5e4b8a39086c88f3d6e4af0280eed45e8a295216614a4,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.5966666666666667,1.0,silver_good,1.1790335322608223,-0.1790335322608223,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE204955F02t017/N9/egn09w.1180E+02,nstxuE204955F02t017,nstxuE204955F02t017/N9/egn09w.1180E+02,efb0a009b0c674dc5c30ef43a628140779759e59903dd17c9df3307deb0c7636,BAD,BAD_AXIS_SPIKE,GOOD,0.67,2.878925378742332e-26,flagged_rf_only_good,1.968251015868154,-0.9682510158681541,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE204955F02t017/N10/egn10w.5496E+01,nstxuE204955F02t017,nstxuE204955F02t017/N10/egn10w.5496E+01,0486b1c2eb30142ffa5a13b391727090effd64bdd4ce63a28bd171ae91213330,BAD,BAD_AXIS_SPIKE,GOOD,0.6,1.503810476212283e-20,flagged_rf_only_good,1.9596979684225357,-0.9596979684225357,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE202944A02t021/N1/egn01w.6615E+01,nstxuE202944A02t021,nstxuE202944A02t021/N1/egn01w.6615E+01,8163d74259b879be9a1157646bf58236fdf94c6e211911d19160b9d45fa8ed27,BAD,BAD_AXIS_SPIKE,GOOD,0.6933333333333334,6.630949656027951e-07,flagged_rf_only_good,1.1001448351311087,-0.10014483513110872,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N2/egn02w.6793E+01,nstxuE202944A02t021,nstxuE202944A02t021/N2/egn02w.6793E+01,1c84d34928f3a2eba99de3fee4044c4b9020585dbfa834381a7688ba7197a999,BAD,BAD_AXIS_SPIKE,GOOD,0.9133333333333333,0.99997878074646,gold_good,1.0126034817669085,-0.012603481766908509,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N2/egn02w.7449E+01,nstxuE202944A02t021,nstxuE202944A02t021/N2/egn02w.7449E+01,2e35d680efcddc2315f5fc18617ac04de2d59c0a6cfd0919a133f64355903236,BAD,BAD_AXIS_SPIKE,GOOD,0.7733333333333333,0.0,flagged_rf_only_good,1.7176139599871478,-0.7176139599871478,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N3/egn03w.7345E+01,nstxuE202944A02t021,nstxuE202944A02t021/N3/egn03w.7345E+01,4752e0dbe5b693ffa9a78f6d873fa590b3e543a543c339e90c44616bd469812b,BAD,BAD_AXIS_SPIKE,GOOD,0.8133333333333334,9.804657435238692e-27,flagged_rf_only_good,2.1423304029615733,-1.1423304029615733,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N6/egn06w.9025E+01,nstxuE202944A02t021,nstxuE202944A02t021/N6/egn06w.9025E+01,24c6b27b949724b909f145154512ecb1488906d6f80116e22cda364250e41efa,BAD,BAD_AXIS_SPIKE,GOOD,0.76,1.0,gold_good,2.1001568464065974,-1.1001568464065974,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N7/egn07w.8198E+01,nstxuE202944A02t021,nstxuE202944A02t021/N7/egn07w.8198E+01,01ba36958ce6f1814145d176ee9954979d5274c5a57f8e00cb00a19c2977746f,BAD,BAD_AXIS_SPIKE,GOOD,0.9966666666666667,1.4823237852023413e-13,flagged_rf_only_good,1.5884282174724085,-0.5884282174724085,BAD_AXIS_SPIKE,,True
nstxuE202944A02t021/N8/egn08w.7759E+01,nstxuE202944A02t021,nstxuE202944A02t021/N8/egn08w.7759E+01,debbb677ae6a37eb4e2443af90029bf3c6c7955113b4d496708aa815a7e11917,BAD,BAD_AXIS_SPIKE,GOOD,0.5833333333333334,2.3583885018961427e-23,flagged_rf_only_good,3.212494355099128,-2.212494355099128,BAD_CONT_CROSS_WINDOW,,True
nstxuE202944A02t021/N9/egn09w.7205E+01,nstxuE202944A02t021,nstxuE202944A02t021/N9/egn09w.7205E+01,2b70ee4181a863876e65fbfdfda96a2231ffebdda9a3827ade2049cc78ff1903,BAD,BAD_AXIS_SPIKE,GOOD,0.9333333333333333,7.764843979158933e-30,flagged_rf_only_good,2.340968803086214,-1.3409688030862141,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE202944A02t021/N9/egn09w.7538E+01,nstxuE202944A02t021,nstxuE202944A02t021/N9/egn09w.7538E+01,b1a31cff9dabd10f15f374a3129a1cdd3219da8d8701c50f85bc1b369d204b1a,BAD,BAD_AXIS_SPIKE,GOOD,0.99,0.017776193097233772,flagged_rf_only_good,1.5364419473758808,-0.5364419473758808,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE202944A02t021/N9/egn09w.8224E+01,nstxuE202944A02t021,nstxuE202944A02t021/N9/egn09w.8224E+01,90b51de7c62db3053a1c54468db6756221cc1362538143603fdcd7e053ed0a53,BAD,BAD_AXIS_SPIKE,GOOD,0.98,1.0,gold_good,1.3266085626986288,-0.3266085626986288,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
