shot,decision,n_modes,n_complete,minimum,median,maximum,n_margin_0_to_0p1,nearest_gate_counts_json
nstxuG121123N80,GOOD,9,9,0.4956211361435531,0.8517133929551469,0.961626247775059,2,"{""BAD_AXIS_SPIKE"": 1, ""BAD_CONTINUUM_CROSSING_TAIL"": 3, ""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 4}"
nstxuG142301C50,BAD,194,194,1.1513335091962185,7.510828024714659,20.0,0,"{""BAD_AXIS_SPIKE"": 22, ""BAD_CONTINUUM_CROSSING_TAIL"": 12, ""BAD_CONT_CROSS_WINDOW"": 134, ""BAD_GRID_SCALE_PACKET"": 10, ""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 15}"
nstxuG142301E72,BAD,61,61,3.3333333333333335,10.399363162851163,20.0,0,"{""BAD_CONTINUUM_CROSSING_TAIL"": 3, ""BAD_CONT_CROSS_WINDOW"": 54, ""BAD_GRID_SCALE_PACKET"": 3, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuG142301H56,BAD,206,206,1.0528113823734766,6.385443061498619,20.0,0,"{""BAD_AXIS_SPIKE"": 17, ""BAD_CONTINUUM_CROSSING_TAIL"": 6, ""BAD_CONT_CROSS_WINDOW"": 128, ""BAD_GRID_SCALE_PACKET"": 10, ""BAD_GRID_SCALE_SPIKE"": 15, ""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 16, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 6, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 8}"
nstxuG142301H56,GOOD,2,2,0.7190286778524649,0.7945171159272033,0.8700055540019418,0,"{""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 1}"
nstxuG142301L94,BAD,111,111,1.047328658463073,6.146970431186368,20.0,0,"{""BAD_AXIS_ENERGY_CONCENTRATION"": 1, ""BAD_AXIS_SPIKE"": 22, ""BAD_CONTINUUM_CROSSING_TAIL"": 2, ""BAD_CONT_CROSS_WINDOW"": 57, ""BAD_GRID_SCALE_PACKET"": 12, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 16}"
nstxuG142301L94,GOOD,4,4,0.2680288516840606,0.33990440187684545,0.897773102879938,0,"{""BAD_AXIS_SPIKE"": 1, ""BAD_GRID_SCALE_SPIKE"": 3}"
nstxuG142301U84,BAD,156,156,1.0182559846559185,7.080685866655669,20.0,0,"{""BAD_AXIS_SPIKE"": 2, ""BAD_CONTINUUM_CROSSING_TAIL"": 16, ""BAD_CONT_CROSS_WINDOW"": 93, ""BAD_GRID_SCALE_PACKET"": 17, ""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 1, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 17, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 9}"
nstxuG142301U84,GOOD,16,16,0.1767731724809395,0.6519805043485412,0.9628342238682573,2,"{""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 8, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 6, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuG142301V21,BAD,123,123,1.1633883901678272,9.595127299241675,20.0,0,"{""BAD_AXIS_SPIKE"": 2, ""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_CONT_CROSS_WINDOW"": 97, ""BAD_GRID_SCALE_PACKET"": 7, ""BAD_GRID_SCALE_SPIKE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 3, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 10}"
nstxuG142301V21,GOOD,8,8,0.2190214059656939,0.37182077259740476,0.866075722438903,0,"{""BAD_CONT_CROSS_WINDOW"": 2, ""BAD_GRID_SCALE_SPIKE"": 6}"
