shot,n,usable,suitable,median_relative_width,edge_monotonicity,lower_max_count,upper_min_count,extrema_pairs,upper_outer_change_rel,inner_center_frequency,shape_rmse_to_K51_same_n,raw_mode_count,error
nstxuG142301E77,8,True,False,0.11549914129277981,0.6961070794268236,3,1,1,-0.4633334355583011,4.061602299721154,0.17059302139249619,123,
nstxuG142301E77,9,True,False,0.09787200247927812,0.682496588339504,2,1,1,-0.46386288245648966,4.057420564966316,0.17441605542353975,124,
nstxuG142301E77,10,True,False,0.1349740069010189,0.6588058941657733,4,2,2,-0.46279651121284393,4.063568776451372,0.17105131841906798,124,
nstxuG142301F62,6,True,True,0.39308034967043975,0.2925518359723595,2,2,2,-0.5378111838186435,8.915397180152576,0.08364025036792758,59,
nstxuG142301F62,7,True,True,0.42694100047284295,0.2770526734671198,2,2,2,-0.538883783667249,8.885169594651497,0.07868324556142899,44,
nstxuG142301F62,8,True,True,0.4451151181070404,0.2565775922667678,3,2,2,-0.5418425644232571,8.845409381345867,0.0820702224758241,111,
nstxuG142301F62,9,True,True,0.45016841985920225,0.23299903102002772,3,3,3,-0.5364311689113889,8.831908628658649,0.08640600516453996,107,
nstxuG142301F62,10,True,True,0.40739146208420907,0.20890677868378113,3,3,3,-0.5254625476257108,8.853080495481493,0.08246854118898915,120,
nstxuG142301F66,6,True,True,0.3257704623535533,0.3838735953921938,2,2,2,-0.5190420204096889,7.599219875175271,0.06671882865980468,68,
nstxuG142301F66,7,True,True,0.3059825622662242,0.10760314901351337,2,2,2,-0.5204172277419514,7.608487716728513,0.06742714054688284,80,
nstxuG142301F66,8,True,True,0.308990552307008,0.36008110836701285,2,2,2,-0.5209710902627277,7.606645452109933,0.07722288816690266,70,
nstxuG142301F66,9,True,True,0.31732267202071257,0.16206873624527762,3,3,3,-0.5197703248221026,7.6000747676558,0.06748237417592183,72,
nstxuG142301F66,10,True,True,0.28970800894810034,0.349326526033377,4,4,4,-0.5178799148112087,7.612763557222388,0.08362125153589829,71,
nstxuG142301F83,6,True,False,0.19027348111270298,0.20109884817337034,2,2,2,-0.5421127432071227,6.798126800783369,0.10620091822521405,4,
nstxuG142301F83,7,True,False,0.23505632864706077,0.14800725641314355,3,3,3,-0.5195746963751725,6.792777266924912,0.11045004102459395,94,
nstxuG142301F83,8,True,True,0.2619072104838708,0.1413710778269051,3,3,3,-0.5039872432384274,6.791525321455335,0.09717060175941224,109,
nstxuG142301F83,9,True,True,0.26081911016390413,0.13654149926900608,4,3,3,-0.4888940826606364,6.7913037998445045,0.09763490736872209,128,
nstxuG142301F83,10,True,False,0.24410825361821062,0.12417356807309138,4,3,3,-0.4783292002140138,6.786994801575686,0.09731160842696296,108,
nstxuG142301H47,6,True,True,0.376673939776175,0.37018220028010085,3,3,3,-0.27956915043630626,4.470848308879852,0.07426578249604701,123,
nstxuG142301H47,7,True,True,0.3744951126492313,0.32665786895075244,3,3,3,-0.28186221940695666,4.457122292514256,0.07282071274992258,141,
nstxuG142301H47,8,True,True,0.3725612156973642,0.3092632976240716,4,4,4,-0.2845213948303657,4.486564819503397,0.07686035114778482,151,
nstxuG142301H47,9,True,True,0.3793864357832646,0.27484062027215367,4,4,4,-0.2866929197333886,4.456626396899178,0.06659015563126013,155,
nstxuG142301H47,10,True,True,0.3805395470074651,0.26964760666344545,4,4,4,-0.28317006157655017,4.468109461774855,0.06360294317813181,173,
nstxuG142301H56,6,True,True,0.26277184082750393,0.1288592837146148,3,2,2,-0.5089240959127269,6.533316630897748,0.09090857854583209,83,
nstxuG142301H56,7,True,False,0.2065556421101933,0.3775262031706416,4,2,2,-0.512565874586597,6.537218920083667,0.1096750121705004,89,
nstxuG142301H56,8,True,True,0.28393895536669145,0.17022658816925193,3,2,2,-0.5088344000459699,6.529498851321041,0.08106770657395443,75,
nstxuG142301H56,9,True,False,0.2401474499510067,0.1067485514881217,3,3,3,-0.5122355183684904,6.519887567196777,0.09476798152662178,78,
nstxuG142301H56,10,True,True,0.27119493090839275,0.3075898048678304,3,3,3,-0.48647269972953333,6.539372086108841,0.08897974734023252,178,
