shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE205057A01t020,nstxuE205057A01t020/N4/egn04w.9259E+01,267d4fa45df2d6da42d31d31ae6c4bfbc185cf4af33ecc4a2976a5a487787ff6,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N4/egn04w.1444E+02,94668f9f4ecb408ad1a2ea0d870b2df0a55fe7bab3815fefc376c6c3dd316424,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N5/egn05w.8554E+01,90519a143ad980b9fb6a56ec90fbf49db08f4e2878a13a7498a5be2ff6c3b53c,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N6/egn06w.9006E+01,422aaf44f41c3f8946b239d4329a06f51ca8aeffa100f66313dabc4f2b9271b9,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N6/egn06w.1430E+02,43e5b64f786f14721f386b1d99deda0e33f0a3035f016f07c0e4f12b0c8f1dcd,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N8/egn08w.1767E+02,a1a76c0d68f2f1d12b87f4efb16340e3b0f1898909da1971d398d7ab8779296f,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N9/egn09w.8768E+01,ca8ea3327092ef1ea8a85f7e905ea6715aaaf23606ff594eb63d03efaaacabef,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N9/egn09w.1212E+02,528a922ce876ddfc9b4bd1df94f44f23f6d01814ef58ac627b3b1f554f50ff4e,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N10/egn10w.8853E+01,3c5f2bcfea22cfc7d33aba49d7d545d7c3e4ff86f29eec76b2b883d15846cf22,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE205057A01t020,nstxuE205057A01t020/N10/egn10w.9789E+01,d797855629cc9e15ede8d01a5a8fa118ee99fc50411cf91b18e7f4c330484131,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N10/egn10w.1265E+02,4a6fa4b36040a63bb7599e1f5840a9f6310f80ac447f45c3e20fcd9e722d2ae5,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE205057A01t020,nstxuE205057A01t020/N10/egn10w.2032E+02,be6d4289f2a4c22a2ddc796adbbe4c619436ec99b2ff81a1ac75028ae2bcddec,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123K34,nstxuG121123K34/N6/egn06w.7044E+02,8cb78a7cd5721af7c6c8c5604eafa159d0f48d8c803752bb844b2fff76e700c1,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123K34,nstxuG121123K34/N9/egn09w.6028E+02,91a38ed55ac3fe0f8b6e62c53ca21993d3a24afdcab3a476477783b092dc1851,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuG121123K70,nstxuG121123K70/N2/egn02w.2546E+02,99e406f1695b68aea4ccb0b370ebb0caf2c10d22ae022b5dec447639338ea9b2,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123K70,nstxuG121123K70/N2/egn02w.2596E+02,49a2be1a28ccb60f015209cbca66147a62a03d402ce91713e38dc15265efdef4,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123K70,nstxuG121123K70/N7/egn07w.2519E+02,279568f85bcce7e48fb79f2983fcd227404372f4a699f78510a0d2cc2f06baaf,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123K70,nstxuG121123K70/N7/egn07w.2651E+02,6eb804f498e60479605f567427a13e1ec9dd7c700bcf94891f4b467924eb2971,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuG121123K70,nstxuG121123K70/N10/egn10w.2862E+02,af36f7ebb717abbb8ad3eb3fdf28995bdd6c08f35888874943c24bb7220e2c10,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuG121123K70,nstxuG121123K70/N10/egn10w.3121E+02,fccc021bbfbe5f2aedf51fa8dc9bba7b3f5c2e921fd12ae1acdec89e939b05fc,BAD,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,GOOD,,
nstxuG121123N80,nstxuG121123N80/N3/egn03w.4007E+02,a01c932edcbd9033fd297ba4a6c6c34682940fc5a4225be9999881e4018aedc1,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123N80,nstxuG121123N80/N6/egn06w.1723E+02,bb58494dca77989726a7cb894c375a4bb9b7f7822c6b65bd7ff555608bb56b50,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG121123N80,nstxuG121123N80/N7/egn07w.3397E+02,b2863f5d9d2cccd1869294803371d21e93e8142f2d918e65e80cc06537661170,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuG142301H56,nstxuG142301H56/N1/egn01w.4501E+02,22f30b3457b909f7d2c912841ca45fc63b7977970009d95499e766e9f1a51ba0,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG142301H56,nstxuG142301H56/N10/egn10w.2416E+02,1947facc3a384cbb04bc6795bef83c59cc1183976ad9a127757bf8bf9e44e1a4,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG142301V21,nstxuG142301V21/N2/egn02w.2259E+02,05574c2ed435b0c943992ad625787cac155e53d07cab7976f3a66ff6f18957bb,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG142301V21,nstxuG142301V21/N5/egn05w.1945E+02,cd45ab833f5d4663ab77cfc2bf48aa17d06c16a3a104b27a50ee4794d7fa8a51,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuG142301V21,nstxuG142301V21/N10/egn10w.1605E+02,8dcf6d8cb6363a9a1bebbe00439b30bb11e2895ce37751af20bfdcafb9f2b205,BAD,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,GOOD,,
