shot,n,nr,input_modes,datcon_sha256,changed_last,onset,changed_mean
nstxuE205040A01t016,7,201,33,7a84107e662be835db4ea2f71190c577536f095fb2d22a06a62a463215b70260,True,0.96,True
nstxuE205040A01t016,8,201,35,cd67ac1ec9c17547024da3bea0866c2780582dc801cfb1ddb37cacfcf5bc9a34,True,0.96,True
nstxuE205040A01t016,9,201,36,0f14c5055e62d42ee53fceeffb7cfbf830d320ecfad2a6563ed272d69301a795,True,0.96,True
nstxuE205040A01t016,10,201,37,4397cac29b998a34e86e97103bc06db372702cebec7e20d2aef6b4d11d768eb9,True,0.96,True
nstxuE205045A01t022,1,201,43,b2569b8dd15455b19fff6be4b2506c35fc02aae8728f8977a32be2bd85769ec7,False,,False
nstxuE205045A01t022,2,201,23,0fa16514c01cfae459a940a4322ca8f472f1c231167a7944e9fd2d66176dc3fc,False,,False
nstxuE205045A01t022,3,201,102,3dfd2edcb112634ee905c9f2c57d7eb7735bf4e472c8e9d693b57c1f8ee29ce8,False,,False
nstxuE205045A01t022,4,201,62,1099f4389bc06d0317ca972cb77b9de8440283e3cf7056188119589fe3d75f12,False,,False
nstxuE205045A01t022,5,201,121,4e5ac57ecab7ca1e1dbb7dad86a9571ade56fd849d3db517e5e1e71e4f628771,False,,False
nstxuE205045A01t022,6,201,144,8106abef70fd1d2a3916dc499c6416335b70bf6f7b14ad60c1f9b11245fddb1a,False,,False
nstxuE205045A01t022,7,201,126,369257492ccef8ba01253aed47bc6ea18fc7a295ee8db1719945ffd5831569d7,False,,False
nstxuE205045A01t022,8,201,204,e3c30cd1f92d5b380f717be794eb429974215d04f1fd4b6f7658629778dbe3d1,False,,False
nstxuE205045A01t022,9,201,160,e09080b6e0d4f436c7d435e8ff4ff8e031f0fe20dc3ac760b3e9bd0efb7f129a,False,,False
nstxuE205045A01t022,10,201,142,fa19e41f76a39be116a17327bb916d0bfe6048868f5e95a13530a456021f406e,False,,False
nstxuE205054A01t037,1,201,216,387a3e347910f0ed9a6764348b0cde793be16af65bd4a4761f89c037b07de902,False,,False
nstxuE205054A01t037,2,201,24,3c77de3dee8918da41fa192f0fea41db99ba609d62956512877f8f2afb91f55b,False,,False
nstxuE205054A01t037,3,201,46,9caae8e774ea8b8efc5b1866cf8190ab1152f1efa1da369a606a38c710488c01,False,,False
nstxuE205054A01t037,4,201,69,3829130c7e5f50d757ba71a2ea466adc8a8ce4e90f65a2e61bc72ad668ec7eeb,False,,False
nstxuE205054A01t037,5,201,59,4fafc1a4fb1230124c0d82e1af09df6ecd234023579ca8f4858a000a186a515e,False,,False
nstxuE205054A01t037,6,201,0,79012dd52e784e22f1ccfab537e4cbb01916bd463f2be4f17381ecbb587a67af,False,,False
nstxuE205054A01t037,7,201,73,8dad41b3c934a96473eeae3ae0421788e9907bf10ce145f09ac79baf53b148de,False,,False
nstxuE205054A01t037,8,201,80,8684889363a939e5dc868f5c2e72947cd35a30d5f3caf8fb6165210c9e31aa20,False,,False
nstxuE205054A01t037,9,201,10,1e3b8921a46ef269785af50cad4d28a3d4aec6ca622a3029200e830039d59cbb,False,,False
nstxuE205054A01t037,10,201,62,8007022575aee09e74259cb513df723f3951e08e88f660bb8671f6a0c6f24d22,False,,False
nstxuE205057A01t020,1,201,54,2ae81ee22f8bb77d9e087523c2341f1d1568f8e023f07be97a1f526a1e4802fb,False,,False
nstxuE205057A01t020,2,201,49,dc4a3fc84338441fe67d4a18116a96cccc0fac0135a3b84069c01f81fa4fe440,False,,False
