mode_key,shot,n,scenario,input_fingerprint,onset,before_gap_region,before_decision,before_reason,before_signed_delta,before_fraction_below_upper2,after_gap_region,after_decision,after_reason,after_signed_delta,after_fraction_below_upper2
nstxuE204645A16t015/N9/egn09w.5044E+01,nstxuE204645A16t015,9,mean,e7ae9923a7be9990f249cb71f01fe3707bb7720cafba2d16e7d06882213f61eb,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9312143822183907,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.979776474952393,1.0
nstxuE204645A16t015/N9/egn09w.5424E+01,nstxuE204645A16t015,9,last,fb0566f167c2d34ee7ba970345fd725a617b923d95d66610c80696c389f2c49b,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7427476713965241,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9625259188103829,1.0
nstxuE204645A16t015/N9/egn09w.5424E+01,nstxuE204645A16t015,9,mean,fb0566f167c2d34ee7ba970345fd725a617b923d95d66610c80696c389f2c49b,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7427476713965241,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.968661714259955,1.0
nstxuE204645A16t015/N9/egn09w.5763E+01,nstxuE204645A16t015,9,last,fbc5163e4a2fdedea41ec8a69a6d048689401668f4a58fd7e142f44e80449c21,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6731167665383141,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9160444231461861,1.0
nstxuE204645A16t015/N9/egn09w.5763E+01,nstxuE204645A16t015,9,mean,fbc5163e4a2fdedea41ec8a69a6d048689401668f4a58fd7e142f44e80449c21,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6731167665383141,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9332110329336326,1.0
nstxuE204645A16t015/N9/egn09w.6240E+01,nstxuE204645A16t015,9,last,1c671103777d04c79e3e42cf09e44b4b5fd7c501ac451dbb607ccfe550da37aa,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.45892125748449947,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8712891857719828,1.0
nstxuE204645A16t015/N9/egn09w.6240E+01,nstxuE204645A16t015,9,mean,1c671103777d04c79e3e42cf09e44b4b5fd7c501ac451dbb607ccfe550da37aa,0.91,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.45892125748449947,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8931681332517112,1.0
nstxuE204645A16t015/N10/egn10w.2608E+01,nstxuE204645A16t015,10,last,5c2e9b668b314f1d6958e39523c143eae6f44f40746956a7d5c801ca3bf90da8,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5255849805707742,1.0,tae_like,BAD,BAD_EDGE_SPIKE,0.9323975753690567,1.0
nstxuE204645A16t015/N10/egn10w.2608E+01,nstxuE204645A16t015,10,mean,5c2e9b668b314f1d6958e39523c143eae6f44f40746956a7d5c801ca3bf90da8,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.5255849805707742,1.0,tae_like,BAD,BAD_EDGE_SPIKE,0.9694299067777828,1.0
nstxuE204645A16t015/N10/egn10w.5044E+01,nstxuE204645A16t015,10,last,6b04eedefb25feff98afa25146fda65e94054f5fd330835ab670ddad3055ad0b,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.7684758637710457,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9712735995441057,1.0
